country,region,Total motor vehicles,Electric cars in use,EV_adoption
Afghanistan,MEA,6229600,575,0.01
Albania,ECS,14664172,575,0
Algeria,MEA,6239000,575,0.01
American Samoa,EAS,50952500,575,0
Andorra,ECS,14664172,575,0
Angola,SSF,10971500,575,0.01
Antigua and Barbuda,LCN,15637250,575,0
Argentina,LCN,14025000,575,0
Armenia,ECS,14664172,575,0
Aruba,LCN,15637250,575,0
Australia,EAS,18924000,27000,0.14
Austria,ECS,5633000,60000,1.07
Azerbaijan,ECS,14664172,575,0
"Bahamas, The",LCN,15637250,575,0
Bahrain,MEA,6229600,575,0.01
Bangladesh,SAS,45687000,575,0
Barbados,LCN,15637250,575,0
Belarus,ECS,3724000,575,0.02
Belgium,ECS,6820000,105000,1.54
Belize,LCN,15637250,575,0
Benin,SSF,10971500,575,0.01
Bermuda,NAC,157912500,575,0
Bhutan,SAS,45687000,575,0
Bolivia,LCN,15637250,575,0
Bosnia and Herzegovina,ECS,14664172,575,0
Botswana,SSF,10971500,575,0.01
Brazil,LCN,45721000,5400,0.01
British Virgin Islands,LCN,15637250,575,0
Brunei Darussalam,EAS,50952500,575,0
Bulgaria,ECS,3385000,575,0.02
Burkina Faso,SSF,10971500,575,0.01
Burundi,SSF,10971500,575,0.01
Cabo Verde,SSF,10971500,575,0.01
Cambodia,EAS,50952500,575,0
Cameroon,SSF,10971500,575,0.01
Canada,NAC,26788000,212000,0.79
Cayman Islands,LCN,15637250,575,0
Central African Republic,SSF,10971500,575,0.01
Chad,SSF,10971500,575,0.01
Chile,LCN,4750000,840,0.02
China,EAS,318034000,4490000,1.41
Colombia,LCN,5659000,575,0.01
Comoros,SSF,10971500,575,0.01
"Congo, Dem. Rep.",SSF,10971500,575,0.01
"Congo, Rep.",SSF,10971500,575,0.01
Costa Rica,LCN,15637250,575,0
Cote d'Ivoire,SSF,10971500,575,0.01
Croatia,ECS,1940000,575,0.03
Cuba,LCN,15637250,575,0
Curacao,LCN,15637250,575,0
Cyprus,ECS,14664172,575,0
