series,n_countries_total,n_countries_any,pct_countries_any,n_countries_ge_minyrs,pct_countries_ge_minyrs,n_countries_ge_minyrs_consec,pct_countries_ge_minyrs_consec,min_years
SP.POP.TOTL,217,217,100.0,217,100.0,217,100.0,11
SP.URB.TOTL.IN.ZS,217,215,99.07834101382488,215,99.07834101382488,215,99.07834101382488,11
NY.GDP.MKTP.CD,217,214,98.61751152073732,212,97.6958525345622,212,97.6958525345622,11
NY.GDP.PCAP.CD,217,214,98.61751152073732,212,97.6958525345622,212,97.6958525345622,11
EG.FEC.RNEW.ZS,217,212,97.6958525345622,211,97.23502304147465,211,97.23502304147465,11
EG.ELC.RNWX.KH,217,209,96.31336405529954,209,96.31336405529954,209,96.31336405529954,11
EG.ELC.FOSL.ZS,217,209,96.31336405529954,208,95.85253456221199,208,95.85253456221199,11
EG.ELC.PETR.ZS,217,209,96.31336405529954,208,95.85253456221199,208,95.85253456221199,11
EG.ELC.COAL.ZS,217,209,96.31336405529954,207,95.39170506912443,207,95.39170506912443,11
EG.ELC.HYRO.ZS,217,209,96.31336405529954,207,95.39170506912443,207,95.39170506912443,11
EG.ELC.NGAS.ZS,217,209,96.31336405529954,207,95.39170506912443,207,95.39170506912443,11
EG.ELC.NUCL.ZS,217,209,96.31336405529954,207,95.39170506912443,207,95.39170506912443,11
EG.ELC.RNWX.ZS,217,209,96.31336405529954,207,95.39170506912443,207,95.39170506912443,11
IT.NET.USER.ZS,217,213,98.15668202764977,204,94.00921658986175,204,94.00921658986175,11
EN.GHG.CO2.MT.CE.AR5,217,203,93.54838709677419,203,93.54838709677419,203,93.54838709677419,11
EN.GHG.CO2.PC.CE.AR5,217,203,93.54838709677419,203,93.54838709677419,203,93.54838709677419,11
EG.ELC.RNEW.ZS,217,209,96.31336405529954,206,94.93087557603687,202,93.08755760368663,11
EN.GHG.CO2.ZG.AR5,217,198,91.2442396313364,198,91.2442396313364,198,91.2442396313364,11
EN.GHG.CO2.TR.MT.CE.AR5,217,194,89.40092165898618,194,89.40092165898618,194,89.40092165898618,11
EN.GHG.CO2.RT.GDP.PP.KD,217,191,88.0184331797235,191,88.0184331797235,191,88.0184331797235,11
EN.GHG.CO2.LU.MT.CE.AR5,217,183,84.33179723502305,183,84.33179723502305,183,84.33179723502305,11
EG.USE.COMM.FO.ZS,217,179,82.48847926267281,150,69.12442396313364,150,69.12442396313364,11
EG.USE.PCAP.KG.OE,217,179,82.48847926267281,150,69.12442396313364,150,69.12442396313364,11
EG.USE.ELEC.KH.PC,217,150,69.12442396313364,150,69.12442396313364,150,69.12442396313364,11
EG.USE.CRNW.ZS,217,149,68.66359447004608,149,68.66359447004608,149,68.66359447004608,11
EG.GDP.PUSE.KO.PP.KD,217,171,78.80184331797236,142,65.43778801843318,142,65.43778801843318,11
EG.USE.COMM.GD.PP.KD,217,171,78.80184331797236,142,65.43778801843318,142,65.43778801843318,11
SE.XPD.TOTL.GD.ZS,217,201,92.62672811059907,168,77.41935483870968,138,63.59447004608295,11
SE.SEC.ENRR,217,206,94.93087557603687,181,83.41013824884793,130,59.90783410138249,11
SE.TER.ENRR,217,199,91.70506912442396,159,73.27188940092167,118,54.3778801843318,11
GB.XPD.RSDV.GD.ZS,217,153,70.50691244239631,93,42.857142857142854,78,35.944700460829495,11
IE.PPI.ENGY.CD,217,116,53.45622119815668,43,19.81566820276498,16,7.373271889400922,11
IE.PPN.ENGY.CD,217,112,51.61290322580645,33,15.2073732718894,13,5.990783410138249,11
SE.ADT.LITR.ZS,217,163,75.11520737327189,23,10.599078341013826,8,3.686635944700461,11
IE.PPI.TRAN.CD,217,94,43.31797235023041,16,7.373271889400922,7,3.225806451612903,11
IE.PPN.TRAN.CD,217,91,41.935483870967744,15,6.912442396313364,7,3.225806451612903,11
IE.PPI.WATR.CD,217,51,23.502304147465438,8,3.686635944700461,3,1.3824884792626728,11
IE.PPN.WATR.CD,217,50,23.04147465437788,8,3.686635944700461,3,1.3824884792626728,11
IE.PPI.ICTI.CD,217,109,50.23041474654378,0,0.0,0,0.0,11
IE.PPN.ICTI.CD,217,73,33.64055299539171,0,0.0,0,0.0,11
