series,sclass,interp,bounds_lo,bounds_hi
EG.ELC.COAL.ZS,share_rate,linear,0.0,100.0
EG.ELC.FOSL.ZS,other,linear,,
EG.ELC.HYRO.ZS,share_rate,linear,0.0,100.0
EG.ELC.NGAS.ZS,share_rate,linear,0.0,100.0
EG.ELC.NUCL.ZS,other,linear,,
EG.ELC.PETR.ZS,share_rate,linear,0.0,100.0
EG.ELC.RNEW.ZS,share_rate,linear,0.0,100.0
EG.ELC.RNWX.KH,other,linear,,
EG.ELC.RNWX.ZS,other,linear,,
EG.FEC.RNEW.ZS,share_rate,linear,0.0,100.0
EG.GDP.PUSE.KO.PP.KD,other,linear,,
EG.USE.COMM.FO.ZS,other,linear,,
EG.USE.COMM.GD.PP.KD,other,linear,,
EG.USE.CRNW.ZS,other,linear,,
EG.USE.ELEC.KH.PC,other,linear,,
EG.USE.PCAP.KG.OE,other,linear,,
EN.GHG.CO2.LU.MT.CE.AR5,level_growth,log,,
EN.GHG.CO2.MT.CE.AR5,level_growth,log,,
EN.GHG.CO2.PC.CE.AR5,other,linear,,
EN.GHG.CO2.RT.GDP.PP.KD,other,linear,,
EN.GHG.CO2.TR.MT.CE.AR5,other,linear,,
EN.GHG.CO2.ZG.AR5,other,linear,,
GB.XPD.RSDV.GD.ZS,other,linear,,
IE.PPI.ENGY.CD,other,linear,,
IE.PPI.ICTI.CD,other,linear,,
IE.PPI.TRAN.CD,other,linear,,
IE.PPI.WATR.CD,other,linear,,
IE.PPN.ENGY.CD,other,linear,,
IE.PPN.ICTI.CD,other,linear,,
IE.PPN.TRAN.CD,other,linear,,
IE.PPN.WATR.CD,other,linear,,
IT.NET.USER.ZS,share_rate,linear,0.0,100.0
NY.GDP.MKTP.CD,level_growth,log,,
NY.GDP.PCAP.CD,other,linear,,
SE.ADT.LITR.ZS,other,linear,,
SE.SEC.ENRR,other,linear,,
SE.TER.ENRR,other,linear,,
SE.XPD.TOTL.GD.ZS,other,linear,,
SP.POP.TOTL,level_growth,log,,
SP.URB.TOTL.IN.ZS,share_rate,linear,0.0,100.0
