series,coverage,first_year,last_year
region,1.0,1960,2024
SP.POP.TOTL,0.9978730946472882,1960,2024
SP.URB.TOTL.IN.ZS,0.9907834101382489,1960,2024
SP.DYN.LE00.IN,0.9822048918823112,1960,2023
AG.LND.ARBL.ZS,0.8311237149946827,1961,2022
NY.GDP.PCAP.CD,0.8192130450194967,1960,2024
NY.GDP.MKTP.CD,0.8187876639489543,1960,2024
EN.GHG.CO2.MT.CE.AR5,0.7771712158808933,1970,2023
EN.GHG.CO2.PC.CE.AR5,0.7771712158808933,1970,2023
NY.GNP.PCAP.CD,0.7376816731655441,1962,2024
EG.USE.PCAP.KG.OE,0.5295994328252392,1960,2023
EG.USE.ELEC.KH.PC,0.5196029776674937,1960,2023
SE.SEC.ENRR,0.5023750443105282,1970,2023
AG.LND.FRST.K2,0.48528890464374336,1990,2022
AG.LND.FRST.ZS,0.48528890464374336,1990,2022
EG.FEC.RNEW.ZS,0.4782701169797944,1990,2022
NY.GNP.PCAP.PP.CD,0.47238567883729177,1990,2024
EN.GHG.CO2.ZG.AR5,0.463239985820631,1991,2023
EN.GHG.CO2.RT.GDP.PP.KD,0.4534562211981567,1990,2023
SE.TER.ENRR,0.445586671393123,1970,2023
EG.ELC.PETR.ZS,0.436937256292095,1990,2023
EG.ELC.HYRO.ZS,0.43523573200992555,1990,2023
EG.ELC.NGAS.ZS,0.4301311591634172,1990,2023
EG.ELC.COAL.ZS,0.4289259127968805,1990,2023
IT.NET.USER.ZS,0.4280751506557958,1990,2024
EG.ELC.RNEW.ZS,0.4111308046791918,1990,2021
SE.XPD.TOTL.GD.ZS,0.367032967032967,1970,2023
EG.USE.COMM.FO.ZS,0.3576745834810351,1990,2023
EG.GDP.PUSE.KO.PP.KD,0.34101382488479265,1990,2023
EN.GHG.CO2.LU.MT.CE.AR5,0.29840482098546617,2000,2022
GB.XPD.RSDV.GD.ZS,0.16767103863878058,1996,2023
SE.ADT.LITR.ZS,0.07578872740163063,1970,2023
