iso3c,last10_lnCO2,next10_lnCO2,delta,trend,likely_reduce_CO2
ABW,-0.7483496806910326,-1.7786747,-1.030325041026802,disminuye,1
AFG,2.058931528957067,3.147396,1.0884645586894175,sube,0
AGO,3.3207873614858094,4.5208488,1.2000613895823058,sube,0
ALB,1.5890302640809761,2.14368,0.5546498315916313,sube,0
ARE,5.296285287474926,,,sube,0
ARG,5.242319891305512,5.505937,0.2636172081512749,sube,0
ARM,1.8179828759886072,2.3964405,0.5784576299928381,sube,0
ASM,-9.210340371976182,,,sube,0
ATG,-1.2255604315426636,,,sube,0
AUS,5.988782098151563,5.915566,-0.07321613059174847,disminuye,1
AUT,4.198642742759303,3.7947242,-0.4039185167613786,disminuye,1
AZE,3.5686316182518163,4.5798044,1.011172802219375,sube,0
BDI,-0.48537278490674207,0.92966604,1.415038827234623,sube,0
BEL,4.587785099697711,4.6105757,0.022790576266644713,sube,0
BEN,1.910275022443837,2.5507388,0.640463789049083,sube,0
BFA,1.4971664095830304,2.1376376,0.640471205620827,sube,0
BGD,4.577393216888366,6.0825987,1.505205469329896,sube,0
BGR,3.8354816064005965,3.4065983,-0.42888327685652916,disminuye,1
BHR,3.540978925950666,,,sube,0
BHS,0.3165258985794643,,,sube,0
BIH,3.1219909609805403,2.132093,-0.9898980082522688,disminuye,1
BLR,4.102454162500658,4.007573,-0.09488103475407605,disminuye,1
BLZ,-1.4170163434079828,0.09340491,1.510421254866475,sube,0
BMU,-1.2362817921285345,,,sube,0
BOL,3.030071702849687,3.9701781,0.9401064244391315,sube,0
BRA,6.199908544631392,6.1898494,-0.010059167952925385,disminuye,1
BRB,-0.31186837745282925,0.047156613,0.3590249907729415,sube,0
BRN,2.1059673683288658,,,sube,0
BTN,0.4355091926373813,1.0232593,0.5877500894747403,sube,0
BWA,1.932370898958477,2.3953822,0.46301126695033656,sube,0
CAF,-1.3871370549016397,-0.45708212,0.930054932337324,sube,0
CAN,6.363587366521868,5.681924,-0.6816635002498952,disminuye,1
CHE,3.6640106101904344,4.1151733,0.4511627296533156,sube,0
CHL,4.4732630980856785,5.0810027,0.6077396141640774,sube,0
CHN,9.34764293750604,9.177381,-0.1702623756774262,disminuye,1
CIV,2.502850648881472,3.59467,1.0918194084152808,sube,0
CMR,2.278496319424441,2.4926972,0.21420091949767794,sube,0
COD,1.2695751848536738,2.5812812,1.3117060002964727,sube,0
COG,1.8355222320978029,2.031042,0.19551986690122058,sube,0
COL,4.424985417770813,5.1658354,0.7408499627833862,sube,0
COM,-1.4096698140521706,-0.35722837,1.052441445531434,sube,0
CPV,-0.13345791152987133,0.8648488,0.9983067040828193,sube,0
CRI,2.082909254822119,3.2867217,1.203812451568262,sube,0
CUB,3.2286866725481325,3.9920807,0.76339401592843,sube,0
CYM,-1.2626535377346608,,,sube,0
CYP,1.9453357142570655,2.4692636,0.5239278393623192,sube,0
CZE,4.653421234565954,4.2597094,-0.393711876350622,disminuye,1
DEU,6.599508401323419,6.2514753,-0.3480330671559386,disminuye,1
DJI,-0.2672242961292756,1.0161031,1.2833274445896639,sube,0
DMA,-2.6283850667143005,-2.6785855,-0.05020046261309208,disminuye,1
DNK,3.4871132701763954,3.5656419,0.078528609859005,sube,0
DOM,3.2364394239566727,4.385308,1.1488683648922042,sube,0
DZA,5.126034952068141,5.883483,0.7574479809762922,sube,0
ECU,3.702522596361303,4.6886854,0.9861628208139899,sube,0
EGY,5.4920173720032945,6.1090035,0.6169861718504652,sube,0
ERI,-0.4598657414523033,0.9258892,1.3857549354639915,sube,0
ESP,5.544853780694625,5.922222,0.3773683567565467,sube,0
EST,2.854368199961361,2.6880286,-0.16633962597149266,disminuye,1
ETH,2.7282954351865496,4.168785,1.4404896600282941,sube,0
FIN,3.800780997436059,3.6377053,-0.16307567135573686,disminuye,1
FJI,0.5656370240575274,1.0550754,0.4894383829706709,sube,0
FRA,5.787064506178554,6.040447,0.2533827289288677,sube,0
FRO,-6.199971049171376,-3.4497547,2.7502163342055557,sube,0
FSM,-9.210340371976182,,,sube,0
GAB,1.744633396345182,1.3792971,-0.3653362590847451,disminuye,1
GBR,5.935150990474556,5.995885,0.06073390485015118,sube,0
GEO,2.4045891275903903,2.3525882,-0.05200095086309542,disminuye,1
GHA,2.9312361831737257,4.038192,1.1069556121753954,sube,0
GIN,1.1409688543974443,2.1906397,1.0496708798707441,sube,0
GMB,-0.6307524773245056,0.9927877,1.6235401960973936,sube,0
GNB,-1.0910782869574969,-0.31869507,0.7723832185981219,sube,0
GNQ,1.5901945495392837,3.0710735,1.4808789825652084,sube,0
GRC,4.152897917305004,4.0042467,-0.14865120557404676,disminuye,1
GRD,-2.060899156341109,-2.2558813,-0.19498215316816836,disminuye,1
GRL,-0.6363403065048608,-2.3147252,-1.6783848540938942,disminuye,1
GTM,2.8631899320317076,3.828257,0.9650671518611147,sube,0
GUM,-8.077748275949094,-4.3759513,3.701796985818479,sube,0
GUY,0.9503111756262461,1.8364359,0.8861247384133657,sube,0
HKG,3.7240868451120677,4.0070252,0.282938396739739,sube,0
HND,2.281092334289914,2.7652526,0.48416025588952927,sube,0
HRV,2.886070119619296,3.0012803,0.11521018815047945,sube,0
HTI,1.2303564920365633,2.0909152,0.8605587110579191,sube,0
HUN,3.8807126719035034,4.095767,0.21505434927569578,sube,0
IDN,6.329263357054141,7.668348,1.3390844784866305,sube,0
IND,7.782139928457364,8.47123,0.689089624765292,sube,0
