iso3c,Country,region,year,population,Total motor vehicles,EV_adoption,grid_g_per_kwh,ev_g_per_km,co2_total_mt,co2_transport_mt,delta_adoption,annual_km_total,km_shifted,avoided_Mt
NPL,Nepal,,2021,29475010.00000005,45687000,0.0,52.196773859993726,9.39541929479887,16.5911,4.3764,0.5,548244000000.0,274122000000.0,46766.46887207114
BTN,Bhutan,,2021,775442.0,45687000,0.0,59.999186931776194,10.799853647719715,1.8703,0.3861,0.5,548244000000.0,274122000000.0,46381.48251837977
BRA,Brazil,,2023,211140728.99999964,45721000,0.01,97.01181703402753,17.462127066124953,479.50420000000025,216.8353,0.49,548652000000.0,268839480000.0,43696.597239849034
LAO,Lao PDR,,2021,7453194.000000004,50952500,0.0,277.04397194701124,49.86791495046202,23.8166,2.4932,0.5,611430000000.0,305715000000.0,39783.330380919506
FJI,Fiji,,2021,916711.0000000003,50952500,0.0,314.5844641209095,56.62520354176371,2.0281,1.0032,0.5,611430000000.0,305715000000.0,37717.52589922972
PRK,"Korea, Dem. People's Rep.",,2021,26232534.00000001,50952500,0.0,364.83835321728964,65.67090357911214,57.27450000000001,4.4151,0.5,611430000000.0,305715000000.0,34952.11971231174
PNG,Papua New Guinea,,2021,10012895.999999983,50952500,0.0,381.79492711879203,68.72308688138256,5.5583,2.3434,0.5,611430000000.0,305715000000.0,34019.021494058135
WSM,Samoa,,2021,213778.99999999997,50952500,0.0,383.4612079548242,69.02301743186835,0.4291,0.2166,0.5,611430000000.0,305715000000.0,33927.32822581637
KHM,Cambodia,,2021,16974304.999999993,50952500,0.0,400.25835211129646,72.04650338003336,16.7775,6.8498,0.5,611430000000.0,305715000000.0,33003.0032191731
MEX,Mexico,,2023,129739759.00000004,45086000,0.02,402.58551116893244,72.46539201040784,487.0938999999999,130.2114,0.48,541032000000.0,259695360000.0,27926.23873431601
LKA,Sri Lanka,,2021,22155999.99999997,45687000,0.0,456.5230689773903,82.17415241593025,22.723099999999995,10.1949,0.5,548244000000.0,274122000000.0,26816.216991440368
VUT,Vanuatu,,2021,305867.9999999998,50952500,0.0,537.566679307294,96.76200227531291,0.2631,0.1327,0.5,611430000000.0,305715000000.0,25447.104474402713
PYF,French Polynesia,,2021,279792.0000000001,50952500,0.0,548.0546250140247,98.64983250252445,1.1533,0.5824,0.5,611430000000.0,305715000000.0,24869.966456490736
KIR,Kiribati,,2021,128377.00000000012,50952500,0.0,593.6256781193492,106.85262206148286,0.0893,0.045,0.5,611430000000.0,305715000000.0,22362.250646473767
