iso3c,Country,base_year,CO2_base,CO2_scenario,expected_change_pct,shock_gdp_pct,beta_lnGDP_to_lnCO2
WLD,World,2022,38246.62406082747,38810.779573394335,1.475046560108506,10.0,0.15363244094304387
IBT,IDA & IBRD total,2022,25272.8208,25645.606673852788,1.475046560108506,10.0,0.15363244094304387
IBD,IBRD only,2022,24197.2817,24554.202871355614,1.475046560108506,10.0,0.15363244094304387
LMY,Low & middle income,2022,22620.1509,22953.808657741803,1.475046560108506,10.0,0.15363244094304387
MIC,Middle income,2022,22434.417599999982,22765.33570508916,1.475046560108506,10.0,0.15363244094304387
UMC,Upper middle income,2022,17857.18679999999,18120.588619625538,1.475046560108506,10.0,0.15363244094304387
LTE,Late-demographic dividend,2022,17754.593300000004,18016.48181773291,1.475046560108506,10.0,0.15363244094304387
EAS,East Asia & Pacific,2022,16495.53200000001,16738.848777337607,1.475046560108506,10.0,0.15363244094304387
EAP,East Asia & Pacific (excluding high income),2022,14379.005700000002,14591.102728955657,1.475046560108506,10.0,0.15363244094304387
TEA,East Asia & Pacific (IDA & IBRD countries),2022,14320.938599999998,14532.179112194548,1.475046560108506,10.0,0.15363244094304387
HIC,High income,2022,14068.703599999992,14276.223528503653,1.475046560108506,10.0,0.15363244094304387
CHN,China,2022,12526.826300000008,12711.602820428925,1.475046560108506,10.0,0.15363244094304387
OED,OECD members,2022,11534.61640000001,11704.757362429922,1.475046560108506,10.0,0.15363244094304387
PST,Post-demographic dividend,2022,10373.664700000008,10526.681084314549,1.475046560108506,10.0,0.15363244094304387
EAR,Early-demographic dividend,2022,8100.756699999999,8220.246633046108,1.475046560108506,10.0,0.15363244094304387
ECS,Europe & Central Asia,2022,6389.889900000003,6484.143751164674,1.475046560108506,10.0,0.15363244094304387
NAC,North America,2022,5362.284300000005,5441.380490110393,1.475046560108506,10.0,0.15363244094304387
USA,United States,2022,4786.6306,4857.235630010402,1.475046560108506,10.0,0.15363244094304387
LMC,Lower middle income,2022,4577.230800000001,4644.7470854636285,1.475046560108506,10.0,0.15363244094304387
TEC,Europe & Central Asia (IDA & IBRD countries),2022,3684.594499999997,3738.943984426194,1.475046560108506,10.0,0.15363244094304387
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2022,3078.1719,3123.5763687251765,1.475046560108506,10.0,0.15363244094304387
TSA,South Asia (IDA & IBRD),2022,2906.808100000001,2949.6848728880063,1.475046560108506,10.0,0.15363244094304387
SAS,South Asia,2022,2906.808100000001,2949.6848728880063,1.475046560108506,10.0,0.15363244094304387
EUU,European Union,2022,2756.9063,2797.571951543565,1.475046560108506,10.0,0.15363244094304387
IND,India,2022,2740.8206,2781.2489799790455,1.475046560108506,10.0,0.15363244094304387
EMU,Euro area,2022,2102.1807,2133.188844102615,1.475046560108506,10.0,0.15363244094304387
ARB,Arab World,2022,2053.4305000000004,2083.7195559544693,1.475046560108506,10.0,0.15363244094304387
RUS,Russian Federation,2022,2025.1435999999992,2055.0154110090566,1.475046560108506,10.0,0.15363244094304387
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,1846.0145999999995,1873.2441748564004,1.475046560108506,10.0,0.15363244094304387
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,1846.0145999999995,1873.2441748564004,1.475046560108506,10.0,0.15363244094304387
LCN,Latin America & Caribbean,2022,1710.7105000000006,1735.9442763836657,1.475046560108506,10.0,0.15363244094304387
TLA,Latin America & the Caribbean (IDA & IBRD countries),2022,1674.6211000000003,1699.3225409304016,1.475046560108506,10.0,0.15363244094304387
LAC,Latin America & Caribbean (excluding high income),2022,1467.5536000000004,1489.200698894549,1.475046560108506,10.0,0.15363244094304387
ECA,Europe & Central Asia (excluding high income),2022,1198.6666000000005,1216.34749045047,1.475046560108506,10.0,0.15363244094304387
IDA,IDA total,2022,1075.5391000000002,1091.4038024971721,1.475046560108506,10.0,0.15363244094304387
JPN,Japan,2022,1009.9787000000003,1024.8763560721789,1.475046560108506,10.0,0.15363244094304387
TSS,Sub-Saharan Africa (IDA & IBRD countries),2022,839.8439000000003,852.2319885572314,1.475046560108506,10.0,0.15363244094304387
SSF,Sub-Saharan Africa,2022,839.8439000000003,852.2319885572314,1.475046560108506,10.0,0.15363244094304387
SSA,Sub-Saharan Africa (excluding high income),2022,822.1022999999998,834.2286916967226,1.475046560108506,10.0,0.15363244094304387
FCS,Fragile and conflict affected situations,2022,801.6112,813.4353384310446,1.475046560108506,10.0,0.15363244094304387
IRN,"Iran, Islamic Rep.",2022,760.5536999999998,771.7722211896278,1.475046560108506,10.0,0.15363244094304387
CEB,Central Europe and the Baltics,2022,688.8996999999999,699.0612913274477,1.475046560108506,10.0,0.15363244094304387
DEU,Germany,2022,659.5017999999998,669.2297586147535,1.475046560108506,10.0,0.15363244094304387
IDN,Indonesia,2022,656.6691999999998,666.3553764458918,1.475046560108506,10.0,0.15363244094304387
SAU,Saudi Arabia,2022,605.2576000000001,614.1854314085955,1.475046560108506,10.0,0.15363244094304387
AFE,Africa Eastern and Southern,2022,588.4334999999999,597.113168100276,1.475046560108506,10.0,0.15363244094304387
KOR,"Korea, Rep.",2022,587.8176,596.4881832885123,1.475046560108506,10.0,0.15363244094304387
CAN,Canada,2022,575.3213,583.8075570452215,1.475046560108506,10.0,0.15363244094304387
IDB,IDA blend,2022,567.7977,576.1729804422251,1.475046560108506,10.0,0.15363244094304387
PRE,Pre-demographic dividend,2022,550.3403,558.4580756640407,1.475046560108506,10.0,0.15363244094304387
IDX,IDA only,2022,507.7413999999998,515.2308220549465,1.475046560108506,10.0,0.15363244094304387
BRA,Brazil,2022,478.9143000000002,485.97850890801794,1.475046560108506,10.0,0.15363244094304387
MEX,Mexico,2022,465.94440000000014,472.8172968442184,1.475046560108506,10.0,0.15363244094304387
TUR,Turkiye,2022,433.7457,440.14365102746854,1.475046560108506,10.0,0.15363244094304387
LDC,Least developed countries: UN classification,2022,421.3394,427.5543523260818,1.475046560108506,10.0,0.15363244094304387
ZAF,South Africa,2022,409.4074000000001,415.44634977052976,1.475046560108506,10.0,0.15363244094304387
AUS,Australia,2022,374.8785,380.4081324188363,1.475046560108506,10.0,0.15363244094304387
ITA,Italy,2022,332.7658000000001,337.67425048611767,1.475046560108506,10.0,0.15363244094304387
GBR,United Kingdom,2022,327.4606999999999,332.29089779105715,1.475046560108506,10.0,0.15363244094304387
VNM,Viet Nam,2022,324.90070000000003,329.6931365991185,1.475046560108506,10.0,0.15363244094304387
POL,Poland,2022,317.2919000000001,321.972103256453,1.475046560108506,10.0,0.15363244094304387
FRA,France,2022,310.45790000000005,315.03729857453516,1.475046560108506,10.0,0.15363244094304387
THA,Thailand,2022,275.8689,279.9380947198592,1.475046560108506,10.0,0.15363244094304387
MYS,Malaysia,2022,274.34240000000005,278.3890781341192,1.475046560108506,10.0,0.15363244094304387
HPC,Heavily indebted poor countries (HIPC),2022,264.48160000000007,268.38282674292003,1.475046560108506,10.0,0.15363244094304387
AFW,Africa Western and Central,2022,251.4104,255.11882045695504,1.475046560108506,10.0,0.15363244094304387
EGY,"Egypt, Arab Rep.",2022,247.16069999999988,250.80643540328998,1.475046560108506,10.0,0.15363244094304387
KAZ,Kazakhstan,2022,240.2204,243.7637627468789,1.475046560108506,10.0,0.15363244094304387
ESP,Spain,2022,235.4712000000001,238.94450983564633,1.475046560108506,10.0,0.15363244094304387
PAK,Pakistan,2022,218.6802,221.9058347677384,1.475046560108506,10.0,0.15363244094304387
ARE,United Arab Emirates,2022,206.8995,209.95136395763168,1.475046560108506,10.0,0.15363244094304387
ARG,Argentina,2022,193.4816,196.3355436852429,1.475046560108506,10.0,0.15363244094304387
IRQ,Iraq,2022,190.47529999999992,193.28489936050627,1.475046560108506,10.0,0.15363244094304387
DZA,Algeria,2022,186.64440000000005,189.3974918018352,1.475046560108506,10.0,0.15363244094304387
LIC,Low income,2022,185.7333,188.47295265262602,1.475046560108506,10.0,0.15363244094304387
PHL,Philippines,2022,150.63870000000003,152.8606909625422,1.475046560108506,10.0,0.15363244094304387
UZB,Uzbekistan,2022,138.9114,140.96040782729855,1.475046560108506,10.0,0.15363244094304387
UKR,Ukraine,2022,138.33560000000006,140.3761145092055,1.475046560108506,10.0,0.15363244094304387
NLD,Netherlands,2022,132.97070000000002,134.93207973630223,1.475046560108506,10.0,0.15363244094304387
NGA,Nigeria,2022,130.10660000000004,132.0257329277742,1.475046560108506,10.0,0.15363244094304387
BGD,Bangladesh,2022,124.0779,125.90810679580487,1.475046560108506,10.0,0.15363244094304387
