iso3c,Country,CO2_base_5y,delta_EG.ELC.HYRO.ZS,delta_EG.ELC.RNEW.ZS,priority_tech
ABW,Aruba,0.182482,-2.8685331,14.269245,hydro
AFG,Afghanistan,11.069045,22.529734,20.473516,non_hydro_renewables
AGO,Angola,34.317287,-0.26768446,-3.2552123,non_hydro_renewables
ALB,Albania,6.71801,4.507327,2.483058,non_hydro_renewables
ARG,Argentina,205.53044,5.019307,4.295957,non_hydro_renewables
ARM,Armenia,11.310542,2.693081,0.07878542,non_hydro_renewables
AUS,Australia,341.56387,5.0159693,3.6768675,non_hydro_renewables
AUT,Austria,49.369938,-4.088366,-2.39864,hydro
AZE,Azerbaijan,75.49373,0.46651363,0.0,non_hydro_renewables
BDI,Burundi,1.617293,35.436047,11.945522,non_hydro_renewables
BEL,Belgium,104.46492,-1.894176,-3.0394256,non_hydro_renewables
BEN,Benin,7.0695467,6.283951,0.675714,non_hydro_renewables
BFA,Burkina Faso,5.3670716,4.079449,4.2232156,hydro
BGD,Bangladesh,165.27412,3.7294626,25.83331,hydro
BGR,Bulgaria,40.562187,7.688725,11.738443,hydro
BIH,Bosnia and Herzegovina,14.630157,4.255414,3.406489,non_hydro_renewables
BLR,Belarus,38.485134,-2.2939742,5.666554,hydro
BLZ,Belize,1.041472,-36.390244,-36.675465,non_hydro_renewables
BOL,Bolivia,33.17009,-0.2425909,-1.8556356,non_hydro_renewables
BRA,Brazil,444.1197,-14.441305,-8.579201,hydro
BRB,Barbados,1.3718746,-32.911892,-21.907484,hydro
BTN,Bhutan,1.5661409,81.3344,59.75809,non_hydro_renewables
BWA,Botswana,11.987188,19.795525,-4.032159,non_hydro_renewables
CAF,Central African Republic,0.49242797,32.116425,2.5384903,non_hydro_renewables
CAN,Canada,291.26675,20.925081,19.152987,non_hydro_renewables
CHE,Switzerland,65.037926,0.7554054,-2.7872622,non_hydro_renewables
CHL,Chile,150.15347,10.969806,7.3952556,non_hydro_renewables
CHN,China,10144.604,7.8491807,6.7406654,non_hydro_renewables
CIV,Cote d'Ivoire,19.941946,4.5467377,0.70192814,non_hydro_renewables
CMR,Cameroon,11.691814,-5.1426706,-1.2426734,hydro
COD,"Congo, Dem. Rep.",7.494151,13.452268,4.7243357,non_hydro_renewables
COG,"Congo, Rep.",5.9128065,2.494502,-0.38514137,non_hydro_renewables
COL,Colombia,228.69345,-4.885703,-6.6678762,non_hydro_renewables
COM,Comoros,0.60856754,-0.12896061,3.1778097,hydro
CPV,Cabo Verde,1.559702,-5.104822,0.5439162,hydro
